QuestionNumber | Module | TopicCode | TopicName | AssessmentCriterion | QuestionType | Stem | OptionA | OptionB | OptionC | OptionD | OptionE | CorrectAnswer | Marks | BloomLevel
218 | KM-01 | KT0801 | Locking Devices & Fasteners | Identification | TF | Castle nuts are used in applications requiring secure locking. | True | False |  |  |  | A | 1 | Understand
219 | KM-01 | KT0803 | Locking Devices & Fasteners | Drawings | MCQ | Which drawing view best shows the shape of a bolt head? | Sectional view | Isometric view | Plan view | Side view | Hidden view | C | 1 | Understand
220 | KM-01 | KT0803 | Locking Devices & Fasteners | Drawings | TF | Fasteners must be drawn to scale in detailed drawings. | True | False |  |  |  | A | 1 | Apply
221 | KM-01 | KT0802 | Locking Devices & Fasteners | Application | MCQ | Which fastener is used to prevent loosening due to vibration? | Plain nut | Lock nut | Rivet | Bolt | Screw | B | 1 | Understand
222 | KM-01 | KT0802 | Locking Devices & Fasteners | Application | TF | Lock nuts often include nylon inserts to increase friction. | True | False |  |  |  | A | 1 | Remember
223 | KM-01 | KT0801 | Locking Devices & Fasteners | Identification | MCQ | Which fastener is used to align components during assembly? | Dowel pin | Split pin | Rivet | Bolt | Washer | A | 1 | Understand
224 | KM-01 | KT0801 | Locking Devices & Fasteners | Identification | TF | Dowel pins ensure accurate alignment between mating parts. | True | False |  |  |  | A | 1 | Understand
225 | KM-01 | KT0802 | Locking Devices & Fasteners | Application | MCQ | Which fastener is best suited for securing rotating components to shafts? | Bolt | Nut | Key | Washer | Rivet | C | 1 | Apply
226 | KM-01 | KT0802 | Locking Devices & Fasteners | Application | TF | Keys prevent slippage between shafts and pulleys. | True | False |  |  |  | A | 1 | Understand
227 | KM-01 | KT0804 | Locking Devices & Fasteners | Safety | MCQ | Which action is unsafe when working with fasteners? | Using correct tools | Applying correct torque | Using damaged fasteners | Following specifications | Inspecting threads | C | 1 | Remember
228 | KM-01 | KT0804 | Locking Devices & Fasteners | Safety | TF | Damaged or worn fasteners must be replaced immediately. | True | False |  |  |  | A | 1 | Apply
229 | KM-01 | KT0803 | Locking Devices & Fasteners | Drawings | MCQ | Which view shows the internal thread of a nut? | External view | Sectional view | Isometric view | Hidden view | Plan view | B | 1 | Understand
230 | KM-01 | KT0803 | Locking Devices & Fasteners | Drawings | TF | Sectional views are used to show hidden thread details. | True | False |  |  |  | A | 1 | Apply
231 | KM-01 | KT0901 | Welding & Cutting | Equipment | MCQ | Which power source is commonly used for arc welding? | AC/DC welding machine | Air compressor | Hydraulic pump | Milling machine | Lathe | A | 1 | Remember
232 | KM-01 | KT0901 | Welding & Cutting | Equipment | TF | An electrode holder is used to grip the welding electrode. | True | False |  |  |  | A | 1 | Remember
233 | KM-01 | KT0901 | Welding & Cutting | Equipment | MCQ | Which gas is commonly used for oxy?acetylene cutting? | Oxygen and nitrogen | Oxygen and acetylene | Argon and helium | CO? and nitrogen | Hydrogen and oxygen | B | 1 | Remember
234 | KM-01 | KT0901 | Welding & Cutting | Equipment | TF | Oxygen cylinders are painted black in South Africa. | True | False |  |  |  | A | 1 | Remember
235 | KM-01 | KT0902 | Welding & Cutting | Techniques | MCQ | Arc welding creates heat through: | Chemical reaction | Electrical arc | Friction | Compressed air | Hydraulic pressure | B | 1 | Understand
236 | KM-01 | KT0902 | Welding & Cutting | Techniques | TF | The arc length affects weld penetration and bead quality. | True | False |  |  |  | A | 1 | Apply
237 | KM-01 | KT0902 | Welding & Cutting | Techniques | MCQ | Which flame type is used for most cutting operations? | Carburizing flame | Neutral flame | Oxidizing flame | Cold flame | Soft flame | B | 1 | Understand
238 | KM-01 | KT0902 | Welding & Cutting | Techniques | TF | A neutral flame has a balanced ratio of oxygen and acetylene. | True | False |  |  |  | A | 1 | Remember
239 | KM-01 | KT0903 | Welding & Cutting | Material selection | MCQ | Brazing requires: | Melting the base metal | Melting only the filler metal | Melting both base and filler metal | No heat | High?pressure gas | B | 1 | Understand
240 | KM-01 | KT0903 | Welding & Cutting | Material selection | TF | Silver soldering uses lower temperatures than brazing. | True | False |  |  |  | A | 1 | Remember
241 | KM-01 | KT0904 | Welding & Cutting | Defects | MCQ | Porosity in a weld is caused by: | Excessive heat | Contaminated surfaces | Correct travel speed | Proper shielding | Good electrode angle | B | 1 | Understand
242 | KM-01 | KT0904 | Welding & Cutting | Defects | TF | Cracks in welds can result from rapid cooling. | True | False |  |  |  | A | 1 | Understand
243 | KM-01 | KT0904 | Welding & Cutting | Defects | MCQ | Undercut occurs when: | Too much filler is added | The weld metal fails to fuse | The base metal melts away at the toe | The bead is too wide | The arc is too short | C | 1 | Apply
244 | KM-01 | KT0904 | Welding & Cutting | Defects | TF | Slag inclusions occur when slag is not fully removed between passes. | True | False |  |  |  | A | 1 | Apply
245 | KM-01 | KT0905 | Welding & Cutting | Gas cylinder safety | MCQ | Gas cylinders must always be stored: | Lying flat | In direct sunlight | Upright and secured | Near heat sources | On uneven floors | C | 1 | Remember
246 | KM-01 | KT0905 | Welding & Cutting | Gas cylinder safety | TF | Acetylene cylinders must never be used while lying horizontally. | True | False |  |  |  | A | 1 | Remember
247 | KM-01 | KT0905 | Welding & Cutting | Gas cylinder safety | MCQ | Which tool is used to open an oxygen cylinder valve? | Hammer | Adjustable spanner | Cylinder key | Screwdriver | Pliers | C | 1 | Remember
248 | KM-01 | KT0905 | Welding & Cutting | Gas cylinder safety | TF | Oil or grease must never be used on oxygen fittings. | True | False |  |  |  | A | 1 | Apply
249 | KM-01 | KT0906 | Welding & Cutting | Health & safety | MCQ | Which PPE is essential for arc welding? | Safety goggles | Welding helmet | Dust mask | Ear plugs | Hard hat only | B | 1 | Remember
250 | KM-01 | KT0906 | Welding & Cutting | Health & safety | TF | Arc welding produces ultraviolet radiation that can damage eyes and skin. | True | False |  |  |  | A | 1 | Understand
251 | KM-01 | KT0906 | Welding & Cutting | Health & safety | MCQ | Fumes from welding can cause: | Improved breathing | Respiratory problems | Better eyesight | Reduced fatigue | No effect | B | 1 | Understand
252 | KM-01 | KT0906 | Welding & Cutting | Health & safety | TF | Adequate ventilation is required during welding and cutting. | True | False |  |  |  | A | 1 | Apply
253 | KM-01 | KT0902 | Welding & Cutting | Techniques | MCQ | The correct travel speed in welding results in: | Excessive spatter | Even bead shape | Porosity | Undercut | Cracking | B | 1 | Apply
254 | KM-01 | KT0902 | Welding & Cutting | Techniques | TF | Too slow travel speed can cause excessive weld buildup. | True | False |  |  |  | A | 1 | Apply
255 | KM-01 | KT0903 | Welding & Cutting | Material selection | MCQ | Silver soldering is commonly used for: | Heavy structural steel | High?pressure pipelines | Small precision components | Thick plate welding | Cast iron repairs | C | 1 | Understand
256 | KM-01 | KT0903 | Welding & Cutting | Material selection | TF | Brazing requires capillary action to distribute filler metal. | True | False |  |  |  | A | 1 | Understand
257 | KM-01 | KT0901 | Welding & Cutting | Equipment | MCQ | Which component regulates gas pressure from a cylinder? | Torch | Regulator | Hose | Nozzle | Flashback arrestor | B | 1 | Remember
258 | KM-01 | KT0901 | Welding & Cutting | Equipment | TF | Flashback arrestors prevent flames from travelling back into hoses. | True | False |  |  |  | A | 1 | Apply
259 | KM-01 | KT0906 | Welding & Cutting | Health & safety | MCQ | What is the main cause of flashback? | Clean hoses | Correct gas pressure | Blocked nozzle or tip | Proper flame setting | Good ventilation | C | 1 | Understand
260 | KM-01 | KT0906 | Welding & Cutting | Health & safety | TF | A blocked cutting tip can cause backfire or flashback. | True | False |  |  |  | A | 1 | Apply
1 | KM-02 | KT010601 | Seals & Gaskets | Definitions | MCQ | What is the purpose of a gasket? | To transmit torque | To prevent leakage between mating surfaces | To reduce noise | To increase friction | To cool components | B | 1 | Understand
2 | KM-02 | KT010601 | Seals & Gaskets | Definitions | TF | A gasket is a compressible material placed between two surfaces to prevent leakage. | True | False |  |  |  | A | 1 | Remember
3 | KM-02 | KT010601 | Seals & Gaskets | Definitions | MCQ | Which statement best describes a seal? | A rigid metal ring | A device that prevents fluid leakage | A tool for tightening bolts | A type of bearing | A type of lubricant | B | 1 | Understand
4 | KM-02 | KT010601 | Seals & Gaskets | Definitions | TF | Dynamic seals are used on moving components. | True | False |  |  |  | A | 1 | Remember
5 | KM-02 | KT010602 | Packings & Glands | Types & functions | MCQ | What is the purpose of gland packing? | To cool the shaft | To seal around a moving shaft | To lubricate bearings | To increase shaft speed | To reduce noise | B | 1 | Understand
6 | KM-02 | KT010602 | Packings & Glands | Types & functions | TF | Gland packing is tightened using a gland follower. | True | False |  |  |  | A | 1 | Apply
7 | KM-02 | KT010602 | Packings & Glands | Types & functions | MCQ | Which material is commonly used for gland packing? | Nylon | Graphite | PVC | Aluminium | Brass | B | 1 | Remember
8 | KM-02 | KT010602 | Packings & Glands | Types & functions | TF | Over?tightening gland packing can cause excessive friction and heat. | True | False |  |  |  | A | 1 | Understand
9 | KM-02 | KT010603 | Gaskets | Applications | MCQ | Which gasket type is suitable for high?temperature steam applications? | Rubber gasket | Cork gasket | Spiral wound gasket | Paper gasket | Plastic gasket | C | 1 | Apply
10 | KM-02 | KT010603 | Gaskets | Applications | TF | Rubber gaskets are suitable for high?pressure steam systems. | True | False |  |  |  | B | 1 | Understand
11 | KM-02 | KT010603 | Gaskets | Applications | MCQ | Which gasket material is commonly used for chemical resistance? | Paper | Cork | PTFE (Teflon) | Leather | Rubber | C | 1 | Understand
12 | KM-02 | KT010603 | Gaskets | Applications | TF | PTFE gaskets are suitable for corrosive chemical environments. | True | False |  |  |  | A | 1 | Remember
13 | KM-02 | KT010601 | Seals & Gaskets | Definitions | MCQ | Static seals are used when: | Both surfaces move | One surface rotates | Both surfaces are stationary | The shaft vibrates | The shaft is misaligned | C | 1 | Understand
14 | KM-02 | KT010601 | Seals & Gaskets | Definitions | TF | O?rings can be used as both static and dynamic seals. | True | False |  |  |  | A | 1 | Apply
15 | KM-02 | KT010601 | Seals & Gaskets | Definitions | MCQ | The cross?section of an O?ring is: | Square | Hexagonal | Circular | Triangular | Rectangular | C | 1 | Remember
16 | KM-02 | KT010601 | Seals & Gaskets | Definitions | TF | O?rings require proper groove design to function correctly. | True | False |  |  |  | A | 1 | Apply
17 | KM-02 | KT010602 | Packings & Glands | Packing method | MCQ | When packing a stuffing box, the rings must be installed: | In one long strip | In staggered joints | Without lubrication | Randomly | Upside down | B | 1 | Apply
18 | KM-02 | KT010602 | Packings & Glands | Packing method | TF | Packing rings must be cut at 45¯ or 90¯ depending on the method. | True | False |  |  |  | A | 1 | Understand
19 | KM-02 | KT010603 | Gaskets | Applications | MCQ | Which gasket is commonly used in automotive engines? | Spiral wound | Paper gasket | Rubber O?ring | Cork gasket | Leather gasket | B | 1 | Understand
20 | KM-02 | KT010603 | Gaskets | Applications | TF | Cork gaskets are suitable for low?pressure oil applications. | True | False |  |  |  | A | 1 | Remember
21 | KM-02 | KT010601 | Seals & Gaskets | Definitions | MCQ | Which factor is MOST important when selecting a gasket? | Colour | Thickness only | Operating temperature and pressure | Manufacturer | Shape of bolt head | C | 1 | Apply
22 | KM-02 | KT010601 | Seals & Gaskets | Definitions | TF | Gasket failure can occur due to incorrect torque on bolts. | True | False |  |  |  | A | 1 | Understand
23 | KM-02 | KT010602 | Packings & Glands | Types & functions | MCQ | The stuffing box is found on: | Electric motors | Pumps and valves | Gearboxes | Compressors | Bearings | B | 1 | Understand
24 | KM-02 | KT010602 | Packings & Glands | Types & functions | TF | The purpose of a stuffing box is to prevent leakage along a rotating shaft. | True | False |  |  |  | A | 1 | Remember
25 | KM-02 | KT010603 | Gaskets | Applications | MCQ | Spiral wound gaskets consist of: | Rubber only | Cork and rubber | Metal and filler material | Plastic layers | Paper and glue | C | 1 | Understand
26 | KM-02 | KT010603 | Gaskets | Applications | TF | Spiral wound gaskets are suitable for high?pressure applications. | True | False |  |  |  | A | 1 | Apply
27 | KM-02 | KT010601 | Seals & Gaskets | Definitions | MCQ | Which seal type is used on rotating shafts? | Static seal | Dynamic seal | Paper gasket | Cork gasket | Leather washer | B | 1 | Understand
28 | KM-02 | KT010601 | Seals & Gaskets | Definitions | TF | Lip seals are commonly used on rotating shafts. | True | False |  |  |  | A | 1 | Remember
29 | KM-02 | KT010604 | Safety | Safety precautions | MCQ | Which action is unsafe when handling gaskets? | Using correct torque | Cleaning surfaces | Reusing damaged gaskets | Checking alignment | Using correct material | C | 1 | Remember
30 | KM-02 | KT010604 | Safety | Safety precautions | TF | Gaskets must never be reused once compressed. | True | False |  |  |  | A | 1 | Apply
31 | KM-02 | KT0201 | Bearings | Types | MCQ | Which of the following is a type of anti-friction bearing? | Ball bearing | Plain bearing | Bush bearing | Sleeve bearing | Thrust washer | A | 1 | Remember
32 | KM-02 | KT0201 | Bearings | Types | TF | Ball bearings reduce friction using rolling elements. | True | False |  |  |  | A | 1 | Understand
33 | KM-02 | KT0201 | Bearings | Types | MCQ | Which bearing type is best for heavy radial loads? | Ball bearing | Taper roller bearing | Needle bearing | Thrust bearing | Sleeve bearing | B | 1 | Understand
34 | KM-02 | KT0201 | Bearings | Types | TF | Needle roller bearings have long, thin rollers for high load capacity. | True | False |  |  |  | A | 1 | Remember
35 | KM-02 | KT0202 | Bearings | Components | MCQ | The part of a bearing that holds the rolling elements is called the: | Cage | Race | Seal | Shield | Housing | A | 1 | Remember
36 | KM-02 | KT0202 | Bearings | Components | TF | The inner race rotates with the shaft. | True | False |  |  |  | A | 1 | Understand
37 | KM-02 | KT0202 | Bearings | Components | MCQ | What is the purpose of a bearing seal? | Increase speed | Prevent contamination | Reduce shaft diameter | Increase friction | Support axial load | B | 1 | Understand
38 | KM-02 | KT0202 | Bearings | Components | TF | Shields protect bearings from dust but do not fully seal them. | True | False |  |  |  | A | 1 | Remember
39 | KM-02 | KT0203 | Bearings | Applications | MCQ | Which bearing is best suited for axial loads? | Deep groove ball bearing | Thrust bearing | Needle bearing | Taper roller bearing | Sleeve bearing | B | 1 | Understand
40 | KM-02 | KT0203 | Bearings | Applications | TF | Thrust bearings are designed to handle axial forces. | True | False |  |  |  | A | 1 | Remember
41 | KM-02 | KT0203 | Bearings | Applications | MCQ | Which bearing is commonly used in electric motors? | Taper roller bearing | Deep groove ball bearing | Needle bearing | Thrust bearing | Plain bearing | B | 1 | Understand
42 | KM-02 | KT0203 | Bearings | Applications | TF | Deep groove ball bearings can handle both radial and axial loads. | True | False |  |  |  | A | 1 | Understand
43 | KM-02 | KT0204 | Bearings | Failures | MCQ | Which condition commonly causes bearing overheating? | Proper lubrication | Excessive load | Correct alignment | Clean environment | Correct installation | B | 1 | Understand
44 | KM-02 | KT0204 | Bearings | Failures | TF | Misalignment can lead to premature bearing failure. | True | False |  |  |  | A | 1 | Understand
45 | KM-02 | KT0204 | Bearings | Failures | MCQ | Contamination in bearings is usually caused by: | Clean oil | Dust and dirt | Correct seals | Proper lubrication | Correct torque | B | 1 | Remember
46 | KM-02 | KT0204 | Bearings | Failures | TF | Lack of lubrication increases friction and causes wear. | True | False |  |  |  | A | 1 | Understand
47 | KM-02 | KT0205 | Bearings | Installation | MCQ | When installing a bearing on a shaft, force must be applied to the: | Outer race | Inner race | Cage | Seal | Shield | B | 1 | Apply
48 | KM-02 | KT0205 | Bearings | Installation | TF | Applying force to the wrong race can damage the bearing. | True | False |  |  |  | A | 1 | Apply
49 | KM-02 | KT0205 | Bearings | Installation | MCQ | Heating a bearing before installation is done to: | Expand the inner race | Shrink the outer race | Increase friction | Remove lubrication | Clean the bearing | A | 1 | Understand
50 | KM-02 | KT0205 | Bearings | Installation | TF | Bearings must be kept clean during installation to prevent contamination. | True | False |  |  |  | A | 1 | Apply
51 | KM-02 | KT0201 | Bearings | Types | MCQ | Which bearing type has cylindrical rollers? | Ball bearing | Roller bearing | Needle bearing | Thrust bearing | Sleeve bearing | B | 1 | Remember
52 | KM-02 | KT0201 | Bearings | Types | TF | Roller bearings can carry higher loads than ball bearings. | True | False |  |  |  | A | 1 | Understand
53 | KM-02 | KT0204 | Bearings | Failures | MCQ | A common sign of bearing failure is: | Smooth rotation | Excessive noise | Low temperature | Clean lubricant | Proper alignment | B | 1 | Understand
54 | KM-02 | KT0204 | Bearings | Failures | TF | Vibration can indicate bearing wear or damage. | True | False |  |  |  | A | 1 | Understand
55 | KM-02 | KT0203 | Bearings | Applications | MCQ | Which bearing is used for very high-speed applications? | Needle bearing | Deep groove ball bearing | Taper roller bearing | Sleeve bearing | Thrust bearing | B | 1 | Understand
56 | KM-02 | KT0203 | Bearings | Applications | TF | Sleeve bearings rely on a thin film of lubricant to reduce friction. | True | False |  |  |  | A | 1 | Understand
57 | KM-02 | KT0205 | Bearings | Installation | MCQ | Before installing a bearing, the shaft must be: | Painted | Roughened | Clean and smooth | Heated | Bent slightly | C | 1 | Apply
58 | KM-02 | KT0205 | Bearings | Installation | TF | Bearings should be stored in their original packaging until installation. | True | False |  |  |  | A | 1 | Remember
59 | KM-02 | KT0204 | Bearings | Failures | MCQ | Which factor MOST reduces bearing lifespan? | Correct lubrication | Clean environment | Overloading | Proper alignment | Correct installation | C | 1 | Understand
60 | KM-02 | KT0204 | Bearings | Failures | TF | Water contamination can cause bearing rust and pitting. | True | False |  |  |  | A | 1 | Understand
61 | KM-02 | KT0301 | Valves | Classification | MCQ | Which of the following is a linear motion valve? | Gate valve | Ball valve | Butterfly valve | Plug valve | Quarter-turn valve | A | 1 | Remember
62 | KM-02 | KT0301 | Valves | Classification | TF | Gate valves are used for fully open or fully closed operation. | True | False |  |  |  | A | 1 | Understand
63 | KM-02 | KT0301 | Valves | Classification | MCQ | Which valve type is commonly used for quick shut-off? | Gate valve | Ball valve | Globe valve | Needle valve | Relief valve | B | 1 | Understand
64 | KM-02 | KT0301 | Valves | Classification | TF | Ball valves are quarter-turn valves. | True | False |  |  |  | A | 1 | Remember
65 | KM-02 | KT0302 | Valves | Terminology | MCQ | The term ?seat? in a valve refers to: | The handle | The sealing surface | The stem | The body | The bonnet | B | 1 | Remember
66 | KM-02 | KT0302 | Valves | Terminology | TF | The stem connects the actuator or handle to the valve disc. | True | False |  |  |  | A | 1 | Understand
67 | KM-02 | KT0302 | Valves | Terminology | MCQ | The bonnet of a valve is used to: | Control flow | Support the stem and internal parts | Increase pressure | Reduce vibration | Filter contaminants | B | 1 | Understand
68 | KM-02 | KT0302 | Valves | Terminology | TF | The disc or plug is the part that blocks or allows flow. | True | False |  |  |  | A | 1 | Remember
69 | KM-02 | KT0303 | Valves | Working principles | MCQ | Globe valves are best suited for: | On/off control only | Throttling and flow regulation | High-speed rotation | Vacuum sealing | High torque applications | B | 1 | Understand
70 | KM-02 | KT0303 | Valves | Working principles | TF | Globe valves offer better flow control than gate valves. | True | False |  |  |  | A | 1 | Understand
71 | KM-02 | KT0303 | Valves | Working principles | MCQ | A non-return valve allows flow: | In both directions | Only in one direction | Only when pressure is low | Only when manually opened | Only when fully closed | B | 1 | Remember
72 | KM-02 | KT0303 | Valves | Working principles | TF | Check valves prevent backflow in pipelines. | True | False |  |  |  | A | 1 | Understand
73 | KM-02 | KT0301 | Valves | Classification | MCQ | Which valve is commonly used for pressure relief? | Gate valve | Relief valve | Ball valve | Needle valve | Butterfly valve | B | 1 | Remember
74 | KM-02 | KT0301 | Valves | Classification | TF | Relief valves automatically open when system pressure exceeds a set limit. | True | False |  |  |  | A | 1 | Understand
75 | KM-02 | KT0303 | Valves | Working principles | MCQ | Needle valves are used for: | High flow | Low flow and precise control | Quick shut-off | High-pressure steam | Dirty fluids | B | 1 | Understand
76 | KM-02 | KT0303 | Valves | Working principles | TF | Needle valves provide fine adjustment of flow. | True | False |  |  |  | A | 1 | Apply
77 | KM-02 | KT0304 | Valves | Installation | MCQ | Before installing a valve, the pipeline must be: | Painted | Pressurized | Clean and free of debris | Heated | Bent | C | 1 | Apply
78 | KM-02 | KT0304 | Valves | Installation | TF | Valves must be installed according to the flow direction arrow. | True | False |  |  |  | A | 1 | Apply
79 | KM-02 | KT0304 | Valves | Installation | MCQ | When installing a check valve, it must be placed: | Upside down | In any direction | According to flow direction | Horizontally only | Vertically only | C | 1 | Understand
80 | KM-02 | KT0304 | Valves | Installation | TF | Incorrect valve orientation can cause malfunction or failure. | True | False |  |  |  | A | 1 | Understand
81 | KM-02 | KT0302 | Valves | Terminology | MCQ | The actuator of a valve is used to: | Filter fluid | Open or close the valve | Increase pressure | Reduce temperature | Support the pipeline | B | 1 | Understand
82 | KM-02 | KT0302 | Valves | Terminology | TF | Manual valves use handwheels, levers, or handles. | True | False |  |  |  | A | 1 | Remember
83 | KM-02 | KT0303 | Valves | Working principles | MCQ | Butterfly valves use a: | Sliding gate | Rotating disc | Rising stem | Floating ball | Spring-loaded plug | B | 1 | Remember
84 | KM-02 | KT0303 | Valves | Working principles | TF | Butterfly valves are suitable for large-diameter pipelines. | True | False |  |  |  | A | 1 | Understand
85 | KM-02 | KT0301 | Valves | Classification | MCQ | Which valve type is NOT a quarter-turn valve? | Ball valve | Butterfly valve | Plug valve | Gate valve | None of the above | D | 1 | Remember
86 | KM-02 | KT0301 | Valves | Classification | TF | Gate valves require multiple turns to open or close. | True | False |  |  |  | A | 1 | Understand
87 | KM-02 | KT0304 | Valves | Installation | MCQ | Before removing a valve from a system, you must: | Increase pressure | Close isolation valves | Heat the valve | Add lubrication | Remove the actuator | B | 1 | Apply
88 | KM-02 | KT0304 | Valves | Installation | TF | Pressure must be released before removing a valve. | True | False |  |  |  | A | 1 | Apply
89 | KM-02 | KT0304 | Valves | Installation | MCQ | Valve gaskets must be replaced when: | They look clean | They have been compressed | The valve is painted | The pipeline is empty | The valve is new | B | 1 | Understand
90 | KM-02 | KT0304 | Valves | Installation | TF | Reusing old gaskets can cause leaks. | True | False |  |  |  | A | 1 | Apply
91 | KM-02 | KT0401 | Drives | Belt drives | MCQ | Which belt type is commonly used for high?speed, low?torque applications? | V?belt | Flat belt | Timing belt | Chain belt | Rope belt | B | 1 | Understand
92 | KM-02 | KT0401 | Drives | Belt drives | TF | Flat belts are suitable for long?distance power transmission. | True | False |  |  |  | A | 1 | Remember
93 | KM-02 | KT0401 | Drives | Belt drives | MCQ | V?belts provide better grip because of their: | Colour | Shape | Friction angle | Length | Width | C | 1 | Understand
94 | KM-02 | KT0401 | Drives | Belt drives | TF | V?belts operate using the wedge principle. | True | False |  |  |  | A | 1 | Understand
95 | KM-02 | KT0402 | Drives | Chain drives | MCQ | Chain drives are preferred when: | No lubrication is desired | Slip must be avoided | High noise is required | Low torque is needed | Belts are cheaper | B | 1 | Understand
96 | KM-02 | KT0402 | Drives | Chain drives | TF | Chain drives do not slip under load. | True | False |  |  |  | A | 1 | Remember
97 | KM-02 | KT0402 | Drives | Chain drives | MCQ | Which component engages with the chain? | Pulley | Sprocket | Gear | Coupling | Sheave | B | 1 | Remember
98 | KM-02 | KT0402 | Drives | Chain drives | TF | Chain drives require regular lubrication to reduce wear. | True | False |  |  |  | A | 1 | Apply
99 | KM-02 | KT0403 | Drives | Gear drives | MCQ | Spur gears are used for: | Parallel shafts | Intersecting shafts | Non?parallel shafts | Flexible shafts | Vertical shafts | A | 1 | Understand
100 | KM-02 | KT0403 | Drives | Gear drives | TF | Spur gears produce more noise than helical gears. | True | False |  |  |  | A | 1 | Understand
101 | KM-02 | KT0403 | Drives | Gear drives | MCQ | Bevel gears are used to transmit motion between shafts at: | 0¯ | 45¯ | 90¯ | 180¯ | Any angle | C | 1 | Remember
102 | KM-02 | KT0403 | Drives | Gear drives | TF | Helical gears run more quietly than spur gears. | True | False |  |  |  | A | 1 | Understand
103 | KM-02 | KT0404 | Drives | Couplings | MCQ | Which coupling type accommodates slight misalignment? | Rigid coupling | Flange coupling | Flexible coupling | Gear coupling | Sleeve coupling | C | 1 | Understand
104 | KM-02 | KT0404 | Drives | Couplings | TF | Flexible couplings help reduce vibration. | True | False |  |  |  | A | 1 | Apply
105 | KM-02 | KT0404 | Drives | Couplings | MCQ | A rigid coupling is used when shafts are: | Misaligned | Flexible | Perfectly aligned | Bent | Vibrating | C | 1 | Understand
106 | KM-02 | KT0404 | Drives | Couplings | TF | Rigid couplings cannot compensate for shaft misalignment. | True | False |  |  |  | A | 1 | Remember
107 | KM-02 | KT0401 | Drives | Belt drives | MCQ | Belt slip occurs when: | Belt tension is correct | Belt is too tight | Belt is too loose | Pulley is oversized | Pulley is lubricated | C | 1 | Apply
108 | KM-02 | KT0401 | Drives | Belt drives | TF | Excessive belt tension can damage bearings. | True | False |  |  |  | A | 1 | Understand
109 | KM-02 | KT0402 | Drives | Chain drives | MCQ | Chain elongation is mainly caused by: | Proper lubrication | Wear between pins and bushings | Clean environment | Correct tension | New sprockets | B | 1 | Understand
110 | KM-02 | KT0402 | Drives | Chain drives | TF | Worn chains can jump off sprockets. | True | False |  |  |  | A | 1 | Apply
111 | KM-02 | KT0403 | Drives | Gear drives | MCQ | Which gear type is used for high?speed, low?noise applications? | Spur gear | Helical gear | Bevel gear | Worm gear | Rack gear | B | 1 | Understand
112 | KM-02 | KT0403 | Drives | Gear drives | TF | Worm gears provide high reduction ratios. | True | False |  |  |  | A | 1 | Remember
113 | KM-02 | KT0403 | Drives | Gear drives | MCQ | A rack and pinion system converts: | Linear to rotary motion | Rotary to linear motion | Heat to motion | Torque to pressure | Pressure to flow | B | 1 | Understand
114 | KM-02 | KT0403 | Drives | Gear drives | TF | Rack and pinion systems are used in steering mechanisms. | True | False |  |  |  | A | 1 | Apply
115 | KM-02 | KT0404 | Drives | Couplings | MCQ | Which coupling is commonly used for pumps? | Rigid coupling | Jaw coupling | Gear coupling | Sleeve coupling | Chain coupling | B | 1 | Understand
116 | KM-02 | KT0404 | Drives | Couplings | TF | Jaw couplings use an elastomer insert to absorb shock. | True | False |  |  |  | A | 1 | Remember
117 | KM-02 | KT0405 | Drives | Safety | MCQ | Guards must be installed on: | Belts only | Chains only | Gears only | All rotating equipment | None of the above | D | 1 | Apply
118 | KM-02 | KT0405 | Drives | Safety | TF | Loose clothing is a hazard around rotating drives. | True | False |  |  |  | A | 1 | Remember
119 | KM-02 | KT0405 | Drives | Safety | MCQ | Before working on drive systems, you must: | Increase speed | Remove guards | Lockout and tagout | Add lubrication | Rotate by hand | C | 1 | Apply
120 | KM-02 | KT0405 | Drives | Safety | TF | Lockout/Tagout prevents accidental start?up during maintenance. | True | False |  |  |  | A | 1 | Understand
121 | KM-02 | KT0501 | Pumps | Types | MCQ | Which pump type uses an impeller to move fluid? | Gear pump | Centrifugal pump | Piston pump | Diaphragm pump | Screw pump | B | 1 | Understand
122 | KM-02 | KT0501 | Pumps | Types | TF | Centrifugal pumps are classified as dynamic pumps. | True | False |  |  |  | A | 1 | Remember
123 | KM-02 | KT0501 | Pumps | Types | MCQ | Which pump type is best for high?viscosity fluids? | Centrifugal pump | Gear pump | Jet pump | Submersible pump | Axial pump | B | 1 | Understand
124 | KM-02 | KT0501 | Pumps | Types | TF | Positive displacement pumps deliver a fixed volume per cycle. | True | False |  |  |  | A | 1 | Remember
125 | KM-02 | KT0502 | Pumps | Components | MCQ | The rotating component of a centrifugal pump is called the: | Rotor | Impeller | Stator | Piston | Plunger | B | 1 | Remember
126 | KM-02 | KT0502 | Pumps | Components | TF | The pump casing directs fluid flow and increases pressure. | True | False |  |  |  | A | 1 | Understand
127 | KM-02 | KT0502 | Pumps | Components | MCQ | Mechanical seals are used to: | Increase flow | Prevent leakage | Reduce noise | Increase speed | Filter contaminants | B | 1 | Understand
128 | KM-02 | KT0502 | Pumps | Components | TF | Mechanical seals replace traditional gland packing in many pumps. | True | False |  |  |  | A | 1 | Remember
129 | KM-02 | KT0503 | Pumps | Working principles | MCQ | Centrifugal pumps increase fluid velocity using: | Reciprocating motion | Rotational energy | Compressed air | Hydraulic pressure | Magnetic force | B | 1 | Understand
